"AS" "TDC" "CPR" "LAMT" "SLS" "STR" "SDG" "T16H1" "T16H2" "16OMT" "T3O" "T3R" "NMT" "D4H" "DAT" "PRX1" "TPT2" "GBF1A" "GBF2A" "ORCA2" "ORCA3" "ORCA4" "ORCA5" "ZCT1" "ZCT2" "ZCT3" "WRKY1" "MYC2" "HYS" "GS" "TAT" "TEX1" "TEX2" "THAS" "T19H" "MAT" "ORCA6" "10-HG0" "IO" "7-DLGT" "7-DLH" "IRS" "GES" "G10H" "BIS1" "BIS2" "BIS3" "GATA1"
"AS" 1 0.905396397852494 0.420977706161119 0.907713702744361 0.888301245946043 0.957057468723216 0.744965798227804 -0.30551073217609 -0.658959893294732 -0.426978997396546 -0.443057177644045 -0.477211991006139 -0.633613591378316 -0.440163720168056 -0.525255123157264 -0.433715288724797 -0.992285022350644 0.719710588500477 0.584315990090175 0.972070573038729 0.99412790029826 0.797161139533224 0.992135834198225 0.952722797654158 0.611460508092261 0.945517879495496 0.973793874061093 0.992765024413125 0.638043290243063 0.918156985799513 0.993201535649728 0.128685863303323 0.961510217137953 0.998252560883356 0.990446829080266 0.993435738282949 0.990833515848905 -0.204130342141938 -0.127498597973015 0.228159661285683 0.325737351331341 -0.120296462149349 -0.245444963910612 -0.221750753853061 -0.216652639981565 -0.0952343949283398 0.268096528231943 -0.16464749589705
"TDC" 0.905396397852494 1 0.08836237604921 0.9867464456052 0.982073585759416 0.98817619902541 0.956558721592317 -0.583063957034454 -0.643903648680318 -0.0451131691452497 -0.0348944259449692 -0.0946912359547947 -0.283353572020203 -0.125253539996677 -0.204574378077494 -0.67821527904319 -0.925776355863421 0.412175148618493 0.437579594020984 0.783285665634661 0.884296056619566 0.894565669256389 0.854725044289196 0.737922733618946 0.274048903398369 0.737606378052378 0.94326546515194 0.881021671560891 0.507808841016284 0.779701804975766 0.860438284439881 -0.225196123270923 0.826794047738869 0.894585523869392 0.855143467870892 0.862122840387601 0.843778122726232 -0.162809701975932 -0.00780368483977595 0.313831032129215 0.402804152209935 -0.0134280364839729 -0.155738542336806 -0.093551657910117 -0.117799446698851 -0.0251780534732777 0.282767330530177 0.21059634467261
"CPR" 0.420977706161119 0.08836237604921 1 0.0290491928741555 0.0017442550956033 0.199515230857295 -0.141142290147708 0.576875865993695 -0.119658571900873 -0.710510480066833 -0.735700682057198 -0.934193691400519 -0.91595210210268 -0.966226016046604 -0.806991333860751 0.469618146640868 -0.311036149768323 0.930440138955993 0.676741505538838 0.55720101283853 0.384392663008197 -0.202554771425667 0.446552111632164 0.639660735832489 0.847081528405132 0.679639147728873 0.324326661203901 0.439554738752223 0.628917856799836 0.629737396090481 0.44014589949097 0.820268266270566 0.521616323120462 0.403380972209623 0.432478549637369 0.435790614879684 0.474422531194026 0.151277564856493 -0.0183519115246554 0.170925207258395 0.208374567622608 0.0342295304374274 0.034231895211997 -0.0487746134607919 0.0351554649635932 0.110336705420817 0.295852369308591 -0.544753304621754
"LAMT" 0.907713702744361 0.9867464456052 0.0290491928741555 1 0.997598997458347 0.978650039832822 0.929500256908802 -0.575229094590762 -0.613469306005715 -0.0541531965270835 -0.0632026248106943 -0.0656559501575969 -0.252853784528777 -0.0501717030587437 -0.160050446147288 -0.667981469009638 -0.940529535519452 0.375116107383704 0.336998502536361 0.799537843506747 0.902170450238203 0.939046250564433 0.870356566970079 0.745056398072443 0.290426256831437 0.723263755967599 0.925394225692576 0.879328596084589 0.413801503261232 0.729915560690759 0.874871724870189 -0.217827940887652 0.805651888938887 0.904857496993576 0.871135936486168 0.877923542902935 0.857949189302032 -0.288444918087976 -0.127048875732647 0.189166656255482 0.280978611317934 -0.138084176654826 -0.278549423289314 -0.213484930110477 -0.243239785271878 -0.150008185796181 0.162775642324011 0.18363785424673
"SLS" 0.888301245946043 0.982073585759416 0.0017442550956033 0.997598997458347 1 0.966218805483626 0.931698872128438 -0.559930963418344 -0.560434102231505 0.0030095504017727 -0.0144717758119772 -0.0211163347427443 -0.20888011585049 -0.00879926921951304 -0.101348638268379 -0.649032289536217 -0.922451720506475 0.344742478799804 0.284031532720999 0.776827372055931 0.881030581878723 0.929312375393899 0.847171703246973 0.720689124840387 0.281335625787573 0.692621321088084 0.900727127860654 0.852135302311517 0.360791575029645 0.693710996530654 0.851481349675168 -0.216766627305092 0.769760848120302 0.884067612155064 0.846286831212383 0.855514246995003 0.834872103201677 -0.332341020382832 -0.168362737944531 0.144093196337908 0.235872353396371 -0.179474859866215 -0.31862182798903 -0.251505175806887 -0.282708630098565 -0.195027985032391 0.110836534509356 0.240942414796605
"STR" 0.957057468723216 0.98817619902541 0.199515230857295 0.978650039832822 0.966218805483626 1 0.905865256865827 -0.524574615442857 -0.695230623379631 -0.196187673452521 -0.187511245334678 -0.234704676525464 -0.416078488071597 -0.242119600027963 -0.339028558743622 -0.632660648370819 -0.969502022559146 0.523602557514755 0.519299650576611 0.86285828998236 0.942066434453663 0.88767347573212 0.921259215449876 0.824994410780099 0.378262818603308 0.826578429379464 0.980736344770205 0.943013159397444 0.586136422480047 0.852507435081239 0.925853198508252 -0.130478560869863 0.900317125602345 0.950108798547128 0.922418895075368 0.926459707697173 0.912692869279419 -0.148184087429102 -0.01475592243225 0.322577308933147 0.415104682071696 -0.0171181276449716 -0.157236965827965 -0.106431401478822 -0.121999607525185 -0.0160098440760345 0.316369551530441 0.0632216048177069
"SDG" 0.744965798227804 0.956558721592317 -0.141142290147708 0.929500256908802 0.931698872128438 0.905865256865827 1 -0.735806860910779 -0.608002869084042 0.191789975808457 0.229600821169794 0.158308496913356 -0.0314873015700169 0.0811201021099603 0.000964079376488649 -0.798523101633257 -0.781883212111547 0.16433144571161 0.3321027579138 0.569366959896546 0.715710559839466 0.867124555802736 0.6711444044779 0.512107660764251 -0.00305785776912013 0.524228035728966 0.832385775008177 0.718326700170548 0.405921762924723 0.620601352201995 0.679914851449887 -0.464119795923666 0.662841691527363 0.729503134770231 0.674645610353504 0.681467773857743 0.654285199727542 -0.0632575915238165 0.128957103037057 0.39068726278016 0.462474243280516 0.114821851212582 -0.0246874206489085 0.0567094658956714 0.0151418288497347 0.0804321612003894 0.316531252521136 0.412980723382643
"T16H1" -0.30551073217609 -0.583063957034454 0.576875865993695 -0.575229094590762 -0.559930963418344 -0.524574615442857 -0.735806860910779 1 0.703913561008136 -0.225513389685937 -0.341656884252736 -0.433947944913223 -0.303957577233033 -0.401643414753258 -0.128946070535245 0.9900231137267 0.390780269406074 0.325439224146964 -0.170518482697314 -0.110762967732277 -0.316067210179305 -0.737011036664099 -0.259189844041676 -0.0327685299171022 0.560608826684257 -0.0711176553814542 -0.482258406769849 -0.334543737994855 -0.247902591992116 -0.231751013094217 -0.271653731067082 0.900712108546635 -0.316001665549556 -0.313388674690792 -0.283511383855591 -0.26775299162264 -0.228483761332015 -0.251869054442432 -0.473386884652127 -0.532438140734494 -0.549040956234708 -0.430387821669688 -0.331416050025751 -0.426223599720104 -0.353219096994957 -0.380036141583448 -0.442009284674067 -0.255658129050727
"T16H2" -0.658959893294732 -0.643903648680318 -0.119658571900873 -0.613469306005715 -0.560434102231505 -0.695230623379631 -0.608002869084042 0.703913561008136 1 0.498063623260052 0.375704869217522 0.332468615475352 0.446269283482033 0.325849096418393 0.610663743902938 0.775511321059443 0.681092191806318 -0.362229120377921 -0.747590933535596 -0.578481983077466 -0.66979696781706 -0.695923135666588 -0.659380588939191 -0.551285846887942 -0.0248354871408243 -0.624105521465915 -0.781277009183397 -0.732965495890869 -0.801347569068596 -0.746416009533654 -0.66767601662268 0.386968016112879 -0.788793880795746 -0.670029503310417 -0.68321327212608 -0.657673132170164 -0.644179138575974 -0.436978086883262 -0.545970348334044 -0.734451764078793 -0.776880197467099 -0.530982594771065 -0.428032667490908 -0.463833466218165 -0.44489107010797 -0.545226030088429 -0.759133214658155 0.383336067967253
"16OMT" -0.426978997396546 -0.0451131691452497 -0.710510480066833 -0.0541531965270835 0.0030095504017727 -0.196187673452521 0.191789975808457 -0.225513389685937 0.498063623260052 1 0.981295803764586 0.914342996832565 0.890600362410114 0.787099743577236 0.935533004690609 -0.134090842446859 0.379236839128307 -0.748086669763623 -0.657810749016982 -0.577259479134912 -0.461248533340407 -0.0674242400497104 -0.513091591536345 -0.620559391388871 -0.62767725272342 -0.651759137923413 -0.369444835067174 -0.504145955548166 -0.644794922373741 -0.586871420479181 -0.508176169083808 -0.500440877703944 -0.59005497621725 -0.449966445520709 -0.52179168633016 -0.499426399453152 -0.525194184782414 -0.206441272284494 -0.0933146317798409 -0.222558028788174 -0.25047457861513 -0.111947229366045 -0.106555524876287 -0.0431805818871969 -0.0939247142236889 -0.192296414338965 -0.375886938317464 0.952558901780082
